PRDCODEXT,PROMDEFFECDES_df1,PROMDEFFECHAS_df1,Status Hoy_df2,Prov_df2,Cat _df2,Tipo Prov_df2,LOCCOD_df3,MOVFEC_df3,ACPRCANTVEND_df3,ACPRIMPVEN_df3
560278,26/08/2021,13/09/2021,5.0,11052.0,216.0,1.0,5201.0,4/5/2021,1.0,189
560385,26/08/2021,13/09/2021,5.0,13016.0,216.0,1.0,5201.0,2/5/2021,1.0,309
560407,26/08/2021,13/09/2021,5.0,13016.0,216.0,1.0,5201.0,9/5/2021,1.0,309
560411,26/08/2021,13/09/2021,5.0,13016.0,216.0,1.0,5201.0,9/5/2021,1.0,309
560473,26/08/2021,13/09/2021,1.0,31064.0,216.0,1.0,5201.0,18/6/2021,1.0,765
560504,26/08/2021,13/09/2021,1.0,31066.0,216.0,1.0,5201.0,9/6/2021,1.0,1300
560518,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,20/5/2021,2.0,798
560603,26/08/2021,13/09/2021,1.0,64156.0,216.0,1.0,5201.0,2/5/2021,1.0,259
560666,26/08/2021,13/09/2021,5.0,22049.0,217.0,1.0,5201.0,5/5/2021,3.0,1737
560704,26/08/2021,13/09/2021,1.0,10214.0,217.0,1.0,5201.0,6/5/2021,1.0,735
560706,26/08/2021,13/09/2021,1.0,10214.0,217.0,1.0,5201.0,15/5/2021,1.0,735
560716,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,4/5/2021,1.0,485
560717,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,20/5/2021,2.0,970
560739,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,2/5/2021,1.0,389
560816,26/08/2021,13/09/2021,1.0,13016.0,216.0,1.0,5201.0,16/8/2021,1.0,799
560821,26/08/2021,13/09/2021,5.0,13016.0,216.0,1.0,5201.0,4/6/2021,1.0,485
560822,26/08/2021,13/09/2021,5.0,13016.0,216.0,1.0,5201.0,11/5/2021,1.0,485
560835,26/08/2021,13/09/2021,1.0,21603.0,216.0,1.0,5201.0,3/5/2021,1.0,440
560836,26/08/2021,13/09/2021,1.0,21603.0,216.0,1.0,5201.0,7/5/2021,2.0,880
560849,26/08/2021,13/09/2021,5.0,22010.0,217.0,1.0,5201.0,4/5/2021,2.0,1398
560890,26/08/2021,13/09/2021,5.0,13016.0,216.0,1.0,5201.0,23/8/2021,0.0,299
560960,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,11/5/2021,1.0,2765
560976,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,17/7/2021,1.0,2125
560979,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,4/5/2021,1.0,715
560982,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,4/5/2021,2.0,890
560992,26/08/2021,13/09/2021,5.0,22010.0,216.0,1.0,5201.0,4/5/2021,1.0,1055
560998,26/08/2021,13/09/2021,1.0,31064.0,216.0,1.0,5201.0,5/5/2021,1.0,289
561016,26/08/2021,13/09/2021,1.0,10214.0,216.0,1.0,5201.0,4/5/2021,2.0,950
561031,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,5/6/2021,1.0,2415
561035,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,4/5/2021,1.0,279
561052,26/08/2021,13/09/2021,1.0,64156.0,216.0,1.0,5201.0,29/5/2021,1.0,519
561055,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,3/5/2021,1.0,445
561075,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,5/5/2021,1.0,369
561076,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,8/5/2021,1.0,669
561089,26/08/2021,13/09/2021,1.0,11052.0,216.0,1.0,5201.0,2/5/2021,1.0,218
561136,26/08/2021,13/09/2021,5.0,10145.0,216.0,1.0,5201.0,10/8/2021,18.0,10782
561141,26/08/2021,13/09/2021,5.0,22010.0,216.0,1.0,5201.0,23/8/2021,0.0,2490
561156,26/08/2021,13/09/2021,1.0,22049.0,216.0,1.0,5201.0,4/5/2021,1.0,569
